   0    0
   1    0
   2    0
   3    1
   4    1
   5    3
   6    6
   7   10
   8   19
   9   34
  10   60
  11  102
  12  165
  13  249
  14  340
  15  416
  16  462
  17  476
  18  468
  19  447
  20  421
  21  393
  22  366
  23  340
  24  315
  25  292
  26  270
  27  250
  28  232
  29  214
  30  198
  31  184
  32  170
  33  157
  34  146
  35  135
  36  125
  37  116
  38  107
  39   99
  40   92
  41   85
  42   79
  43   73
  44   67
  45   62
  46   58
  47   53
  48   49
  49   46
  50   42
  51   39
  52   36
  53   33
  54   31
  55   29
  56   26
  57   24
  58   23
  59   21
  60   19
  61   18
  62   16
  63   15
  64   14
  65   13
  66   12
  67   11
  68   10
  69    9
  70    9
  71    8
  72    7
  73    7
  74    6
  75    6
  76    5
  77    5
  78    4
  79    4
  80    4
  81    3
  82    3
  83    3
  84    3
  85    2
  86    2
  87    2
  88    2
  89    2
  90    1
  91    1
  92    1
  93    1
  94    1
  95    1
  96    1
  97    1
  98    1
  99    0
 100    0
